Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2122,21389,21389,72793,50187,0.75,16008,76277,64421,0.25,5261,-520,-62,21389,76088,52828,21389,3154,654,0.1,2136,87763,24772,0.09,1898,66513,9573,0.73,15537,24968,15113,20561,168810,48174
2125,11295,11295,102221,64062,0.74,8317,99123,77500,0.3,3338,-1712,-430,11295,106589,68140,11295,4201,983,0.08,938,133331,34714,0.08,891,84349,13070,0.77,8675,39617,20742,11770,291892,113518
2126,12414,12414,88996,65866,0.77,9531,98846,80915,0.31,3802,-2561,-1364,12414,92485,69480,12414,3392,1053,0.08,974,117128,31132,0.07,901,87083,11135,0.76,9483,31872,21003,12725,218859,94346
2127,15766,15766,75778,64933,0.84,13196,82383,74822,0.19,3005,-3510,-2734,15766,78639,67815,15766,2800,1085,0.11,1706,110365,25848,0.1,1546,90311,10910,0.8,12558,23478,17856,15088,97442,34619
2128,1486,1486,60442,51765,0.8,1194,67591,60024,0.13,189,-896,-1065,1486,62871,54022,1486,2422,663,0.15,230,56454,33124,0.14,208,35980,13774,0.79,1170,16356,11935,1459,69065,28506
2130,5325,5325,94333,73240,0.85,4514,92620,77495,0.18,936,708,640,5325,97612,75969,5325,3239,1091,0.12,656,83313,24722,0.11,592,47464,10520,0.84,4497,30546,19419,5835,182715,69526
2131,16072,16072,72161,57772,0.82,13213,75196,64784,0.15,2457,1562,1035,16072,74682,60243,16072,2485,860,0.11,1843,60752,23409,0.1,1656,111660,8050,0.79,12755,21904,14303,16337,125798,38421
2132,6857,6857,81995,60546,0.78,5372,86257,70066,0.25,1720,1493,1130,6857,85248,63297,6857,3139,913,0.11,753,81928,26845,0.1,675,56067,10728,0.78,5343,27610,16905,7081,175382,70301
2133,6737,6737,73623,58376,0.8,5399,77144,66391,0.23,1526,1758,-26,6737,76453,60999,6737,2781,943,0.11,734,81903,33035,0.1,682,52830,12916,0.79,5289,22780,15553,7209,150162,66778
2134,12375,12375,60430,45343,0.78,9711,63545,54273,0.19,2327,96,644,12375,62952,47488,12375,2425,565,0.11,1340,82260,22705,0.09,1122,66179,7221,0.72,8964,19185,10844,11120,102622,15861
2135,20170,20170,82098,52860,0.8,16163,70157,57253,0.21,4273,1355,1054,20170,85523,55698,20170,3361,775,0.11,2187,219370,25580,0.09,1913,182202,10333,0.77,15595,29105,12601,18362,210979,24851
2136,5187,5187,73437,57534,0.79,4096,77323,66578,0.22,1128,963,303,5187,76525,59886,5187,2917,870,0.12,626,152079,28440,0.11,577,134019,11289,0.78,4033,23254,15346,5314,139264,50300
2137,18006,18006,93495,64966,0.76,13695,92175,74633,0.27,4840,1949,811,18006,97376,68466,18006,3770,1051,0.1,1796,958134,32074,0.09,1656,989766,13830,0.79,14175,33639,18886,18819,248685,88214
2138,13406,13406,78107,58912,0.8,10697,84156,70433,0.23,3103,-1118,-763,13406,81005,61419,13406,2756,894,0.1,1312,96413,26154,0.09,1168,69815,10723,0.76,10203,26651,16944,12942,128152,36913
2140,15267,15267,63248,54023,0.87,13300,67285,60680,0.1,1599,-2382,-2013,15267,65600,56789,15267,2318,981,0.12,1884,54705,19882,0.11,1661,40348,7704,0.79,12096,17544,12420,13778,63533,16783
2141,22268,22268,56466,46422,0.8,17842,61694,54999,0.16,3513,-637,-572,22268,58541,48378,22268,2044,600,0.13,2841,64950,27680,0.11,2512,42562,9631,0.75,16715,15634,10494,20493,75693,20320
2142,18092,18092,54118,47012,0.83,14974,59020,54242,0.09,1635,-903,-614,18092,56343,49334,18092,2213,809,0.15,2720,59435,27549,0.14,2471,42447,11405,0.75,13623,14048,10198,16142,56120,14100
2143,5476,5476,56689,46768,0.78,4279,62841,55794,0.15,815,655,681,5476,58941,48800,5476,2212,667,0.13,696,82109,34288,0.12,644,64525,13856,0.74,4063,15852,11215,5370,87306,28101
2144,24829,24829,47305,40289,0.78,19308,52812,48382,0.09,2297,1352,907,24829,49273,41966,24829,1945,550,0.18,4467,55746,27948,0.16,3989,39308,11693,0.71,17665,11920,8152,20935,44581,9860
2145,53436,53436,70604,59162,0.85,45289,76055,67495,0.17,9190,-2279,-1760,53436,73337,62094,53436,2691,1163,0.11,5815,82929,24290,0.1,5401,65830,10753,0.8,42510,20822,15124,52881,103284,37011
2146,12298,12298,68234,58764,0.86,10532,73283,65497,0.16,1923,-1180,-1474,12298,70791,61508,12298,2544,1100,0.11,1403,48885,20722,0.1,1280,31235,8563,0.8,9835,19502,14434,12571,106696,42993
2147,22030,22030,67294,57292,0.84,18422,72799,65388,0.16,3457,-845,-861,22030,69835,60000,22030,2519,1000,0.1,2228,56073,28055,0.1,2094,35541,11734,0.79,17347,19429,14504,23570,122240,54996
